Xbox 360 , 185351 , 48992370 , 264.32 , 2010-04-01 00:00:00
Dreamcast , 0 , 0 , 0.0 , 2011-04-01 00:00:00
Game Boy , 0 , 0 , 0.0 , 2011-04-01 00:00:00
Game Boy Advance , 19 , 1302 , 68.53 , 2011-04-01 00:00:00
Game Gear , 0 , 0 , 0.0 , 2011-04-01 00:00:00
GameCube , 2 , 203 , 101.58 , 2011-04-01 00:00:00
Genesis , 0 , 0 , 0.0 , 2011-04-01 00:00:00
Nintendo 3DS , 194937 , 48520867 , 248.91 , 2011-04-01 00:00:00
Nintendo DS , 257373 , 38597232 , 149.97 , 2011-04-01 00:00:00
PlayStation , 1 , 151 , 150.88 , 2011-04-01 00:00:00
PlayStation 2 , 20363 , 1919079 , 94.24 , 2011-04-01 00:00:00
PlayStation 3 , 203408 , 65310212 , 321.08 , 2011-04-01 00:00:00
PlayStation Portable , 89749 , 11894706 , 132.53 , 2011-04-01 00:00:00
Wii , 172447 , 31380418 , 181.97 , 2011-04-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2011-04-01 00:00:00
Xbox 360 , 298344 , 83123892 , 278.62 , 2011-04-01 00:00:00
Dreamcast , 42 , 3769 , 88.99 , 2010-05-01 00:00:00
Game Boy Advance , 17 , 932 , 54.81 , 2010-05-01 00:00:00
GameCube , 26 , 1198 , 45.75 , 2010-05-01 00:00:00
N-Gage , 0 , 0 , 0.0 , 2010-05-01 00:00:00
Nintendo 16 Bit , 0 , 0 , 0.0 , 2010-05-01 00:00:00
Nintendo 64 , 2 , 6 , 3.82 , 2010-05-01 00:00:00
Nintendo DS , 384397 , 61692433 , 160.49 , 2010-05-01 00:00:00
PlayStation , 2 , 107 , 69.22 , 2010-05-01 00:00:00
PlayStation 2 , 32251 , 3184002 , 98.73 , 2010-05-01 00:00:00
PlayStation 3 , 154973 , 46986824 , 303.19 , 2010-05-01 00:00:00
PlayStation Portable , 59470 , 10744729 , 180.68 , 2010-05-01 00:00:00
Wii , 336240 , 66309556 , 197.21 , 2010-05-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2010-05-01 00:00:00
Xbox 360 , 194544 , 50524787 , 259.71 , 2010-05-01 00:00:00
Game Boy , 0 , 0 , 0.0 , 2011-05-01 00:00:00
Game Boy Advance , 8 , 633 , 79.13 , 2011-05-01 00:00:00
Game Gear , 0 , 0 , 0.0 , 2011-05-01 00:00:00
GameCube , 1 , 54 , 53.5 , 2011-05-01 00:00:00
Nintendo 3DS , 98445 , 24527173 , 249.15 , 2011-05-01 00:00:00
Nintendo 8 Bit , 0 , 0 , 0.0 , 2011-05-01 00:00:00
Nintendo DS , 199871 , 30246955 , 151.33 , 2011-05-01 00:00:00
PlayStation 2 , 10178 , 978455 , 96.13 , 2011-05-01 00:00:00
PlayStation 3 , 175093 , 55300777 , 315.84 , 2011-05-01 00:00:00
PlayStation Portable , 64955 , 8483136 , 130.6 , 2011-05-01 00:00:00
Wii , 236309 , 36722909 , 155.4 , 2011-05-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2011-05-01 00:00:00
Xbox 360 , 270740 , 72797211 , 268.88 , 2011-05-01 00:00:00
Dreamcast , 46 , 4058 , 87.46 , 2010-06-01 00:00:00
Game Boy Advance , 25 , 1405 , 55.94 , 2010-06-01 00:00:00
Game Boy Color , 1 , 14 , 13.95 , 2010-06-01 00:00:00
GameCube , 38 , 1980 , 51.56 , 2010-06-01 00:00:00
N-Gage , 0 , 0 , 0.0 , 2010-06-01 00:00:00
Nintendo 16 Bit , 0 , 0 , 0.0 , 2010-06-01 00:00:00
Nintendo DS , 510691 , 81699814 , 159.98 , 2010-06-01 00:00:00
PlayStation , 3 , 74 , 23.12 , 2010-06-01 00:00:00
PlayStation 2 , 61192 , 6017760 , 98.34 , 2010-06-01 00:00:00
PlayStation 3 , 304525 , 96194199 , 315.88 , 2010-06-01 00:00:00
PlayStation Portable , 120547 , 22725907 , 188.52 , 2010-06-01 00:00:00
Wii , 424397 , 83465106 , 196.67 , 2010-06-01 00:00:00
Xbox , 2 , 107 , 67.0 , 2010-06-01 00:00:00
